instr_text,textStim,textStimPos,correKey,LearnC_repeatIF.thisRepN,LearnC_repeatIF.thisTrialN,LearnC_repeatIF.thisN,LearnC_repeatIF.thisIndex,Learn_com_24x1.thisRepN,Learn_com_24x1.thisTrialN,Learn_com_24x1.thisN,Learn_com_24x1.thisIndex,TestC_repeatIF.thisRepN,TestC_repeatIF.thisTrialN,TestC_repeatIF.thisN,TestC_repeatIF.thisIndex,Test_com_24x6.thisRepN,Test_com_24x6.thisTrialN,Test_com_24x6.thisN,Test_com_24x6.thisIndex,LearnI_repeatIF.thisRepN,LearnI_repeatIF.thisTrialN,LearnI_repeatIF.thisN,LearnI_repeatIF.thisIndex,Learn_incom_24x1.thisRepN,Learn_incom_24x1.thisTrialN,Learn_incom_24x1.thisN,Learn_incom_24x1.thisIndex,TestI_repeatIF.thisRepN,TestI_repeatIF.thisTrialN,TestI_repeatIF.thisN,TestI_repeatIF.thisIndex,Test_incom_24x6.thisRepN,Test_incom_24x6.thisTrialN,Test_incom_24x6.thisN,Test_incom_24x6.thisIndex,instr_start.started,key_start.started,key_start.keys,key_start.rt,instr_above.started,Stim_R.started,lines_R.started,note1_R.started,note2_R.started,instr_R.started,Stim_L.started,lines_L.started,note1_L.started,note2_L.started,instr_L.started,key_continue.started,instr_contin.started,key_continue.keys,key_continue.rt,instr_ask.started,ask_learn.started,ask_learn.keys,ask_learn.rt,Stim_learn.started,lines_learn.started,note1_learn.started,note2_learn.started,Resp_learn.started,Resp_learn.keys,Resp_learn.corr,Resp_learn.rt,text_judge.started,congra_ask.started,ask_test.started,ask_test.keys,ask_test.rt,Stim.started,lines.started,note2.started,note1.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,text_fb.started,text_fb.stopped,above_instr.started,R_stim.started,R_lines.started,R_note1.started,R_note2.started,R_instr.started,L_stim.started,L_lines.started,L_note1.started,L_note2.started,L_instr.started,continue_key.started,contin_instr.started,continue_key.keys,continue_key.rt,text_jd2.started,text_jd2.stopped,text_fb2.started,text_fb2.stopped,text_end.started,text_end.stopped,participant,gender,education,age,session,date,expName,psychopyVersion,frameRate,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",喜悦,"(0.0, -0.15)",j,,,,,,,,,0,0,0,0,0,3,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.40428950003115,314.40428950003115,314.40428950003115,314.40428950003115,314.40428950003115,j,1,1.5242731999605894,315.95340560004115,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",欣喜,"(0.0, -0.15)",j,,,,,,,,,0,0,0,0,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.4705551000079,316.4705551000079,316.4705551000079,316.4705551000079,316.4705551000079,j,1,4.536880000028759,321.0249180000392,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",高兴,"(0.0, 0.3)",f,,,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.5299043999985,321.5299043999985,321.5299043999985,321.5299043999985,321.5299043999985,f,1,5.985739699972328,327.5406154000084,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",愉快,"(0.0, 0.3)",f,,,,,,,,,0,0,0,0,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.054598000017,328.054598000017,328.054598000017,328.054598000017,328.054598000017,f,1,1.5523114000097848,329.6212875000201,330.12823289999506,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",失落,"(0.0, 0.3)",j,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.12823289999506,330.12823289999506,330.12823289999506,330.12823289999506,330.12823289999506,j,1,1.336268100014422,331.4794505999889,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",难过,"(0.0, -0.15)",f,,,,,,,,,0,0,0,0,0,8,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.9905720000388,331.9905720000388,331.9905720000388,331.9905720000388,331.9905720000388,f,1,7.801720899995416,339.8181707999902,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",快乐,"(0.0, 0.3)",f,,,,,,,,,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.3276820000028,340.3276820000028,340.3276820000028,340.3276820000028,340.3276820000028,f,1,7.9622556999675,348.3167803999968,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",愉悦,"(0.0, 0.3)",f,,,,,,,,,0,0,0,0,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.83296329999575,348.83296329999575,348.83296329999575,348.83296329999575,348.83296329999575,f,1,1.4112782999873161,350.2579791000462,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",快乐,"(0.0, -0.15)",j,,,,,,,,,0,0,0,0,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.7748845000169,350.7748845000169,350.7748845000169,350.7748845000169,350.7748845000169,j,1,2.2609702000045218,353.0548082999885,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",悲伤,"(0.0, -0.15)",f,,,,,,,,,0,0,0,0,0,12,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.56141870003194,353.56141870003194,353.56141870003194,353.56141870003194,353.56141870003194,f,1,2.160720499989111,355.7367576000397,,,,,,,,,,,,,,,,,,,,,,,230624_lqy,女,大学,46,001,2023-06-24_16h51.43.963,nalin_IRAP,2023.1.2,91.06804601294814,
