instr_text,textStim,textStimPos,correKey,LearnC_repeatIF.thisRepN,LearnC_repeatIF.thisTrialN,LearnC_repeatIF.thisN,LearnC_repeatIF.thisIndex,Learn_com_24x1.thisRepN,Learn_com_24x1.thisTrialN,Learn_com_24x1.thisN,Learn_com_24x1.thisIndex,TestC_repeatIF.thisRepN,TestC_repeatIF.thisTrialN,TestC_repeatIF.thisN,TestC_repeatIF.thisIndex,Test_com_24x6.thisRepN,Test_com_24x6.thisTrialN,Test_com_24x6.thisN,Test_com_24x6.thisIndex,LearnI_repeatIF.thisRepN,LearnI_repeatIF.thisTrialN,LearnI_repeatIF.thisN,LearnI_repeatIF.thisIndex,Learn_incom_24x1.thisRepN,Learn_incom_24x1.thisTrialN,Learn_incom_24x1.thisN,Learn_incom_24x1.thisIndex,TestI_repeatIF.thisRepN,TestI_repeatIF.thisTrialN,TestI_repeatIF.thisN,TestI_repeatIF.thisIndex,Test_incom_24x6.thisRepN,Test_incom_24x6.thisTrialN,Test_incom_24x6.thisN,Test_incom_24x6.thisIndex,instr_start.started,key_start.started,key_start.keys,key_start.rt,instr_above.started,Stim_R.started,lines_R.started,note1_R.started,note2_R.started,instr_R.started,Stim_L.started,lines_L.started,note1_L.started,note2_L.started,instr_L.started,key_continue.started,instr_contin.started,key_continue.keys,key_continue.rt,instr_ask.started,ask_learn.started,ask_learn.keys,ask_learn.rt,Stim_learn.started,lines_learn.started,note1_learn.started,note2_learn.started,Resp_learn.started,Resp_learn.keys,Resp_learn.corr,Resp_learn.rt,text_judge.started,text_judge.stopped,congra_ask.started,ask_test.started,ask_test.keys,ask_test.rt,Stim.started,lines.started,note2.started,note1.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,text_fb.started,text_fb.stopped,above_instr.started,R_stim.started,R_lines.started,R_note1.started,R_note2.started,R_instr.started,L_stim.started,L_lines.started,L_note1.started,L_note2.started,L_instr.started,continue_key.started,contin_instr.started,continue_key.keys,continue_key.rt,text_jd2.started,text_jd2.stopped,text_fb2.started,text_fb2.stopped,text_end.started,text_end.stopped,participant,gender,education,age,session,date,expName,psychopyVersion,frameRate,
~请按空格键进入练习阶段~,愉悦,"(0.0, -0.15)",j,0,0,0,0,0,18,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.96881859999849,180.96881859999849,180.96881859999849,180.96881859999849,180.96881859999849,f,0,4.654581300041173,185.6374369999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,愉悦,"(0.0, 0.3)",f,0,0,0,0,0,19,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.1401986000128,186.1401986000128,186.1401986000128,186.1401986000128,186.1401986000128,f,1,9.181449499970768,195.33952769997995,195.84300699998857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,难过,"(0.0, -0.15)",f,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.84300699998857,195.84300699998857,195.84300699998857,195.84300699998857,195.84300699998857,j,0,2.9765210999757983,198.83444499998586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,欣喜,"(0.0, -0.15)",j,0,0,0,0,0,21,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.34249680000357,199.34249680000357,199.34249680000357,199.34249680000357,199.34249680000357,j,1,6.311597299994901,205.66474829998333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,快乐,"(0.0, -0.15)",j,0,0,0,0,0,22,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.1766224000021,206.1766224000021,206.1766224000021,206.1766224000021,206.1766224000021,j,1,2.08056829997804,208.26763179997215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
~请按空格键进入练习阶段~,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",喜悦,"(0.0, -0.15)",j,,,,,,,,,0,0,0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.85640190000413,208.85640190000413,space,18.92858130001696,227.8082418999984,227.8082418999984,227.8082418999984,227.8082418999984,227.8082418999984,j,1,6.617545799992513,234.43966129998444,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",悲伤,"(0.0, 0.3)",j,,,,,,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.95115470001474,234.95115470001474,234.95115470001474,234.95115470001474,234.95115470001474,j,1,5.458852200012188,240.42180760001065,240.92572210001526,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",忧郁,"(0.0, 0.3)",j,,,,,,,,,0,0,0,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.92572210001526,240.92572210001526,240.92572210001526,240.92572210001526,240.92572210001526,j,1,5.520724200003315,246.45734570000786,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",伤心,"(0.0, -0.15)",f,,,,,,,,,0,0,0,0,0,3,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.96770899998955,246.96770899998955,246.96770899998955,246.96770899998955,246.96770899998955,f,1,2.068222100031562,249.04760450002505,249.5517021000269,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",愉悦,"(0.0, 0.3)",f,,,,,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.5517021000269,249.5517021000269,249.5517021000269,249.5517021000269,249.5517021000269,f,1,5.109446800022852,254.67582790000597,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",高兴,"(0.0, 0.3)",f,,,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.18297309998889,255.18297309998889,255.18297309998889,255.18297309998889,255.18297309998889,f,1,1.763833099976182,256.95509270002367,257.4590177999926,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
"恭喜，你已达成80%正确率，可以继续实验

~请按空格键进入测试阶段~",愉快,"(0.0, -0.15)",j,,,,,,,,,0,0,0,0,0,6,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.4590177999926,257.4590177999926,257.4590177999926,257.4590177999926,257.4590177999926,j,1,2.815758500015363,260.28261980001116,,,,,,,,,,,,,,,,,,,,,,,230624_lax,女,小学,8,001,2023-06-24_16h22.26.389,nalin_IRAP,2023.1.2,119.9656418857924,
